,name,address,longitude,latitude
49,Rock Box,"1603 Nagle Pl, Seattle, WA 98122, United States",-122.320146,47.6153829
50,Sea Monster Lounge,"2202 N 45th St, Seattle, WA 98103, United States",-122.3323427,47.6615064
51,Rob Roy,"2332 2nd Ave, Seattle, WA 98121, United States",-122.3465852,47.61476160000001
52,Sonya's Seattle,"1919 1st Ave, Seattle, WA 98101, United States",-122.3420452,47.6105853
53,The crocodile,"65 Lenora St, Seattle, WA 98121, United States",-122.3449709,47.610933
54,Skratch Lounge,"111 Yesler Way, Seattle, WA 98104, United States",-122.3333123,47.6010132
55,Skylark Cafe & Club,"3803 Delridge Way SW, Seattle, WA 98106, United States",-122.3625085,47.5699785
56,The Timbre Room,"1809 Minor Ave, Seattle, WA 98101, United States",-122.3309823,47.6169667
57,SPIN Seattle,"1511 6th Ave, Seattle, WA 98101, United States",-122.3352019,47.611747
58,Barboza,"925 E Pike St, Seattle, WA 98122, United States",-122.319664,47.61381100000001
59,The Rendezvous,"2322 2nd Ave, Seattle, WA 98121, United States",-122.3462172,47.614737
0,Desiree Club,"2800 Pennsylvania Ave NW, Washington, DC 20007, United States",-77.0577956,38.90447169999999
1,DC9 Nightclub,"1940 9th St NW, Washington, DC 20001, United States",-77.024142,38.916708
2,Heist Night Club,"1802 Jefferson Pl NW, Washington, DC 20036, United States",-77.042107,38.906361
3,Ultrabar,"911 F St NW, Washington, DC 20004, United States",-77.02471899999999,38.89749700000001
4,Flash,"645 Florida Ave NW, Washington, DC 20001, United States",-77.02136899999999,38.916281
5,Soundcheck,"1420 K St NW, Washington, DC 20005, United States",-77.032635,38.902192
6,Club Timehri,"2439 18th St NW, Washington, DC 20009, United States",-77.041978,38.921564
7,Decades DC,"1219 Connecticut Ave NW, Washington, DC 20036, United States",-77.0413176,38.9064855
8,L8 Lounge,"727 15th St NW, Washington, DC 20005, United States",-77.0332352,38.8995726
9,Cafe Citron,"1343 Connecticut Ave NW, Washington, DC 20036, United States",-77.04246289999999,38.9083841
10,Kabin Lounge,"1337 Connecticut Ave NW, Washington, DC 20036, United States",-77.04232089999999,38.9082115
11,Eden Lounge DC,"1716 I St NW, Washington, DC 20006, United States",-77.0405274,38.9010931
12,The Park at 14th,"920 14th St NW, Washington, DC 20005, United States",-77.03227500000001,38.901922
13,Bliss Nightclub,"2122 24th Pl NE, Washington, DC 20018, United States",-76.9716718,38.9198884
14,Opera Ultra Lounge,"1400 I St NW, Washington, DC 20005, United States",-77.0323777,38.90118140000001
15,Living Room DC,"1008 Vermont Ave NW, Washington, DC 20005, United States",-77.0337636,38.9030798
16,Panorama Productions,"1424 K St NW #102, Washington, DC 20005, United States",-77.0329387,38.9021435
17,Eighteenth Street Lounge,"1212 18th St NW, Washington, DC 20036, United States",-77.0419716,38.9062117
18,U Street Music Hall,"1115A U St NW, Washington, DC 20009, United States",-77.0276204,38.9171386
19,Bravo Bravo,"1001 Connecticut Ave NW, Washington, DC 20036, United States",-77.0392273,38.90297870000001
20,Black Cat,"1811 14th St NW, Washington, DC 20009, United States",-77.0317283,38.9145825
21,Power Nightclub,"2335 Bladensburg Rd NE, Washington, DC 20018, United States",-76.96892199999999,38.92141609999999
22,Daedalus,"1010 Vermont Ave NW, Washington, DC 20005, United States",-77.03389450000002,38.9030476
23,C&C,"2422 17th St NW, Washington, DC 20009, United States",-77.037802,38.921792
24,Saint Yves,"1220 Connecticut Ave NW, Washington, DC 20036, United States",-77.0419719,38.9066356
25,Rosebar Lounge,"1215 Connecticut Ave NW, Washington, DC 20036, United States",-77.0410983,38.9063975
26,The House,"3530 Georgia Ave NW, Washington, DC 20010, United States",-77.0241466,38.9339531
27,Club Heaven & Hell,"2327 18th St NW, Washington, DC 20009, United States",-77.041664,38.920428
28,Aqua,"1818 New York Ave NE, Washington, DC 20002, United States",-76.9767674,38.9177091
29,L2 Lounge & Events Venue,"3315 Cady's Alley NW, Washington, DC 20007, United States",-77.0666389,38.9047955
30,Zeba Bar,"3423 14th St NW, Washington, DC 20010, United States",-77.0324325,38.9322279
31,stadiumclub,"2127 Queens Chapel Rd NE, Washington, DC 20018, United States",-76.9722378,38.9196507
32,Abigail,"1730 M St NW Suite 100, Washington, DC 20036, United States",-77.0398051,38.9053391
33,The Velvet Lounge,"915 U St NW, Washington, DC 20001, United States",-77.02470459999999,38.9171963
34,New Vegas Lounge,"1415 P St NW, Washington, DC 20005, United States",-77.0326027,38.909787
35,Royal Palace,"1805 Connecticut Ave NW, Washington, DC 20009, United States",-77.0458123,38.9144006
36,Amsterdam Lounge,"1208 U St NW, Washington, DC 20009, United States",-77.0284523,38.9167755
37,Intense Nightlife,"1223 Connecticut Ave NW, Washington, DC 20036, United States",-77.0412669,38.9066873
38,Ozio Rooftop,"1813 M St NW, Washington, DC 20036, United States",-77.0423689,38.9059083
39,Cities Restaurant & Lounge,"1909 K St NW, Washington, DC 20006, United States",-77.044283,38.902816
40,Tropicalia Lounge,"2001 14th St NW, Washington, DC 20009, United States",-77.0315809,38.91714450000001
41,MK Lounge DC,"1930 9th St NW, Washington, DC 20001, United States",-77.0241456,38.9164399
42,Congressional Club,"2001 New Hampshire Ave NW, Washington, DC 20009, United States",-77.035915,38.917216
43,Manor,"1327 Connecticut Ave NW, Washington, DC 20036, United States",-77.0421096,38.908044
44,Casa Blanca - La Concha,"1307 Euclid St NW, Washington, DC 20009, United States",-77.03020599999999,38.923784
45,Dirty Bar,"1223 Connecticut Ave NW 3rd Floor, Washington, DC 20036, United States",-77.0414165,38.9066346
46,Josephine,"1008 Vermont Ave NW, Washington, DC 20005, United States",-77.0337636,38.9030798
47,Las Chicas Locas DC 2nd Floor,"701 7th St NW, Washington, DC 20001, United States",-77.0203753,38.8990504
48,Blues Alley Club,"1073 Wisconsin Ave NW, Washington, DC 20007, United States",-77.0626542,38.9046817
49,Red Lounge Bar & Grill,"2013 14th St NW, Washington, DC 20009, United States",-77.031759,38.917481
50,CLUB ELEVATE,"15 K St NE, Washington, DC 20002, United States",-77.0078388,38.9022272
51,Perkins&Eastman,"Thomas Cir NW, Washington, DC 20005, United States",-77.0317474,38.90594189999999
52,Dodge City,"917 U St NW, Washington, DC 20001, United States",-77.024757,38.9172218
53,Vivid Lounge,"1334 U St NW #4445, Washington, DC 20009, United States",-77.03093299999999,38.916822
54,Ziegfeld's/Secrets,"1824 Half St SW, Washington, DC 20024, United States",-77.0103822,38.867479
55,Barcode,"1101 17th St NW, Washington, DC 20036, United States",-77.0380103,38.9039407
56,The Camelot Showbar Strip Club,"1823 M St NW, Washington, DC 20036, United States",-77.04273690000001,38.9057946
57,Glow Lounge DC,"1608 7th St NW, Washington, DC 20001, United States",-77.0222208,38.9114932
58,Bossa Bistro & Lounge,"2463 18th St NW, Washington, DC 20009, United States",-77.0422541,38.9220719
59,Champion Kitchen,"7730 Georgia Ave NW, Washington, DC 20012, United States",-77.0268423,38.9834142
